from,to,relationship,feature,musiclabel
CAP,BON,1,2,1
CAP,CRO,2,2,2
CAP,KON,1,2,2
CAP,RAF,1,2,2
CAP,GZU,1,2,1
CAP,UFO,1,2,1
CAP,NIMO,1,2,2
CAP,SID,2,2,1
CAP,CAPO,1,1,1
CAP,BAU,1,2,2
CAP,KOO,1,,1
CAP,JAM,2,2,2
BON,KON,2,3,2
BON,RAF,2,4,1
BON,GZU,2,4,1
BON,UFO,2,2,2
BON,BAU,1,1,2
BON,SID,3,,1
BON,SA,2,4,1
BON,MAX,2,4,1
KON,RAF,2,2,2
KON,GZU,2,2,2
KON,UFO,2,2,2
KON,BAU,2,2,2
KON,VEY,2,2,2
RAF,GZU,2,2,2
RAF,UFO,2,2,2
RAF,SID,1,1,2
RAF,BAU,2,2,1
RAF,MAX,2,2,2
APA,SID,2,1,2
APA,BAU,2,1,1
APA,MAR,1,,1
RIN,UFO,2,2,2
RIN,NIMO,1,2,2
RIN,SID,1,1,2
RIN,SHIN,2,1,2
RIN,BAU,2,2,2
RIN,KOO,2,1,2
GZU,UFO,2,2,2
GZU,VEY,2,1,2
GZU,SA,2,4,1
GZU,MAX,2,4,1
UFO,NIMO,2,2,1
UFO,CAPO,1,2,1
UFO,BAU,2,2,2
UFO,MER,1,,1
UFO,MAX,1,2,2
SHIN,CAPO,2,1,2
SHIN,CAP,1,,1
SHIN,CRO,2,1,2
SHIN,SID,2,2,2
SHIN,KAY,3,1,2
CAPO,BAU,2,2,1
CAPO,FIN,1,,1
CAPO,VEY,2,2,1
CAPO,CRO,1,1,2
CAPO,PAS,1,,1
CAPO,NIMO,2,3,2
CAPO,FAR,2,3,2
CAPO,KOO,1,,1
ALL,FIN,2,1,2
ALL,SID,1,1,2
BAU,MAR,2,1,2
BAU,FIN,1,,1
BAU,MAX,2,1,2
BAU,REE,2,2,1
BAU,SID,2,1,2
BAU,ZUN,2,2,2
MAR,KOO,2,2,2
MAR,REE,1,,1
MAR,SID,2,2,2
MAR,FAR,1,1,2
KOO,VEY,1,1,2
KOO,FAR,1,,1
KOO,SID,2,3,2
KOO,MON,1,2,2
KOO,OLE,2,1,2
KOO,FAR,2,1,2
MER,FAR,1,,1
MER,MON,1,,1
MER,ENO,1,2,2
VEY,FAR,1,2,2
VEY,OLE,2,2,2
VEY,KAL,1,1,2
VEY,JAM,2,1,2
MAX,SA,2,4,1
LX,AKA,1,,1
LX,OLE,1,1,2
LX,MAX,2,4,1
LX,BON,2,4,1
LX,GZU,2,4,1
LX,RAF,2,1,2
LX,SA,2,4,1
AKA,SAM,1,1,2
AKA,SHIN,1,1,2
AKA,VEY,2,2,2
AKA,SA,2,2,1
AKA,CAP,1,1,2
AKA,GZU,1,1,1
AKA,BUS,1,1,2
AKA,FAR,2,2,2
AKA,KON,2,2,2
AKA,BON,2,2,1
AKA,GRI,2,2,2
AKA,OLE,1,1,2
AKA,MAX,1,,1
MOZ,GRI,1,,1
MOZ,KOO,1,,1
MOZ,LOR,2,3,1
MOZ,VEY,1,1,2
MOZ,DAR,1,1,2
MOZ,LUC,1,1,2
MOZ,AZE,1,1,2
PA,FOU,2,4,1
PA,KOL,2,2,2
PA,KIA,2,4,1
PA,JAM,2,2,1
PA,RAF,2,2,2
PA,BON,1,1,2
PA,KOO,2,2,2
PA,CAP,1,1,2
GRI,KALIM,1,1,2
GRI,KON,2,2,2
GRI,NIMO,2,2,2
GRI,KCR,2,2,2
GRI,RAF,1,1,2
GRI,BON,1,1,2
GRI,KAL,2,2,2
GRI,UFO,1,1,2
GRI,GZU,2,2,2
GRI,SA,2,2,2
GRI,CAP,2,2,1
GRI,SID,1,1,2
GRI,BAU,1,1,2
GRI,SUM,2,2,2
GRI,KOO,1,1,1
GRI,VEY,2,2,2
GRI,MAX,1,1,2
FOU,JAM,2,2,1
FOU,KIA,2,1,1
FOU,BAU,1,1,2
KOL,KIA,2,1,2
KOL,HAF,2,2,2
KOL,FAR,2,4,2
KOL,SHIN,3,1,2
KOL,SUM,2,2,2
KOL,KCR,2,2,2
KOL,RAF,1,1,2
KIA,KCR,1,2,1
KIA,JAM,2,2,1
HAF,NIMO,1,2,1
HAF,KALIM,1,1,1
HAF,OLE,2,2,2
HAF,SHIN,2,2,2
HAF,CAPO,4,2,1
HAF,BAU,2,2,2
HAF,MAR,2,2,2
HAF,KOO,2,1,2
HAF,VEY,2,2,1
HAF,BUS,3,1,2
HAF,SID,2,2,1
HAF,LUC,1,2,1
HAF,FAR,2,2,2
AZE,ZUN,2,3,1
AZE,RAF,1,2,2
AZE,CAP,1,1,2
BUS,KAY,1,3,1
BUS,SHIN,3,4,1
BUS,MAR,1,1,2
BUS,KOO,3,1,1
BUS,SAM,1,1,1
BUS,SID,1,3,1
BUS,FAR,1,1,1
BUS,CAP,1,1,1
ZUN,LOR,2,1,2
ZUN,RAF,1,1,2
ZUN,CAP,1,1,2
KAL,CAP,2,2,2
KAL,OLE,1,1,2
KALIM,REE,1,1,2
KALIM,BAU,1,1,2
KALIM,MER,1,,1
KALIM,MAX,1,1,2
KALIM,JAM,2,1,2
REE,NIMO,1,2,2
SA,RAF,2,2,2
KAY,FAR,1,2,2
ENO,CAP,1,1,2
FRA,BON,1,1,2
JAM,SUM,1,1,2
JAM,LUC,2,2,2
JAM,NIMO,2,2,2
JAM,FAR,1,1,2
JAM,KOO,2,1,2
JAM,CRO,2,1,2
JAM,ENO,2,1,2
SUM,KCR,2,3,1
SUM,LUC,2,2,2
SUM,FAR,2,2,1
SUM,NIMO,1,2,2
SUM,RAF,1,1,2
SUM,SHIN,1,,1
SUM,CAPO,1,1,1
SUM,BAU,2,2,1
SUM,KOO,2,,1
SUM,FIN,1,,1
SUM,MER,2,,1
SUM,VEY,2,2,2
SUM,REE,2,1,2
SUM,LOR,2,1,1
SUM,CAP,1,2,1
SAM,LUC,2,2,1
SAM,SHIN,1,,1
SAM,KOO,2,2,2
SAM,CAP,1,3,1
SAM,KAL,2,2,2
SAM,NIMO,1,1,1
SAM,ELIF,1,2,1
SAM,SID,2,1,1
SAM,KON,2,1,2
SAM,FAR,1,1,2
DAR,NIMO,2,2,1
DAR,BAU,2,2,2
DAR,FIN,1,,1
DAR,VEY,2,1,2
DAR,LUC,2,1,1
DAR,UFO,1,1,1
DAR,REE,2,1,2
DAR,HAVA,2,1,2
DAR,ENO,2,2,2
DAR,CRO,2,1,2
DAR,LOR,2,1,2
DAR,RAF,1,1,2
DAR,ZUN,2,1,2
LUC,NIMO,2,2,1
LUC,VEY,2,2,2
LUC,KALIM,2,2,1
LUC,UFO,1,2,1
LUC,CAP,2,2,1
LUC,RIN,2,1,2
LUC,ENO,2,2,2
LUC,KON,2,1,2
LUC,SHIN,2,1,1
LUC,GZU,2,1,2
LUC,SID,2,1,1
LUC,RAF,2,1,2
LUC,KAL,2,1,2
LUC,REE,2,1,2
KCR,LUC,2,1,2
KCR,FAR,2,2,2
KCR,KOO,1,2,2
KCR,VEY,2,2,2
KCR,KOL,1,2,2
KCR,RAF,2,1,1
KCR,PA,1,3,1
KCR,CAP,1,2,2
KCR,LOR,2,1,2
KCR,KON,2,1,2
KCR,UFO,1,2,2
NIMO,SID,1,,1
NIMO,MER,2,1,2
NIMO,MAX,2,1,2
NIMO,HAVA,2,1,2
NIMO,ENO,1,1,2
NIMO,OLE,1,2,1
NIMO,KALIM,1,1,2
NIMO,KAL,1,1,2
NIMO,ZUN,1,1,2
FAR,CAP,2,2,1
FAR,ELIF,2,1,1
FAR,RAF,1,1,2
MON,ELIF,2,1,1
SHI,SHIN,2,1,2
LOR,MER,2,1,1
JUJU,CAPO,2,1,2
JUJU,BAU,2,1,2
ELIF,MER,2,1,2
ELIF,KOO,1,,1
CEL,MER,1,,1
NURA,BAU,2,2,2
KAT,CAPO,1,,1
KAT,BAU,1,,1
KAT,FIN,1,,1
SHI,BAD,1,,1
SHI,PAU,1,,1
LOR,JUJU,2,1,2
LOR,CEL,2,1,1
JUJU,NURA,1,4,1
BAD,CEL,1,,1
ELIF,SHI,1,,1
ELIF,NURA,1,,1
ELIF,KAT,2,1,2
NURA,SHI,1,,1
HAF,SHI,1,1,2
LUC,SHI,2,1,2
RAF,JUJU,2,1,2
CAP,JUJU,1,1,2